,Fact id,Fact,SF,Fact actions,Recourse,exceptionality,num_cfs,fidelity,sparsity,uncertainty,Value
0,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[20.0, 14.0, 2.0, 2.0, 1.0, 2.0, 0.0]","[3, 0, 4]","[-1, 2, 1]",1.0,False,0.0643218345940113,0.6666666666666666,1.0,0
1,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[15.0, 14.0, 1.0, 2.0, 1.0, 2.0, 0.0]","[3, 0, 4]","[-1, -1, 4]",1.0,False,0.07145019620656967,0.3333333333333333,1.0,0
2,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[10.0, 14.0, 1.0, 2.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[3, 4, 2]",0.7222222222222222,False,0.2884360998868942,1.0,1.0,0
3,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[20.0, 14.0, 2.0, 2.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[1, 4, 4]",1.0,False,0.010815039897958437,1.0,1.0,0
4,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[15.0, 14.0, 2.0, 2.0, 1.0, 0.0, 0.0]","[3, 0, 4]","[0, 4, 2]",0.75,False,0.11872482237716515,1.0,1.0,0
5,2,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[5.0, 14.0, 2.0, 2.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[3, 5, 3]",0.7333333333333334,False,0.18668265353577831,1.0,1.0,0
6,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, 3, 3]","[-1, 3, 5]",0.6,False,0.33959634564234875,0.6666666666666666,1.0,0
7,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[15.0, 4.0, 0.0, 1.0, 1.0, 2.0, 2.0]","[3, 3, 3]","[5, 4, 5]",1.0,False,0.03166872325042883,1.0,1.0,0
8,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 0.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[5, 3, 5]",0.7999999999999999,False,0.22061770397704095,1.0,1.0,0
9,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, 3, 3]","[5, 3, 5]",0.7333333333333334,False,0.2268523752766972,1.0,1.0,0
10,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[5.0, 4.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, 3, 3]","[2, 3, 3]",0.5777777777777778,False,0.3554907441139221,1.0,1.0,0
11,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 2.0, 1.0, 1.0, 1.0, 0.0]","[3, 3, 3]","[5, 3, -1]",0.75,False,0.25932337366975844,0.6666666666666666,1.0,0
12,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[5.0, 4.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, 3, 3]","[3, 2, 3]",0.4666666666666666,False,0.39141282935937244,1.0,1.0,0
13,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[3, 3, 3]","[3, 3, 3]",0.4666666666666666,False,0.500071664651235,1.0,0.5,0
14,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 4.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[3, 3, 3]",1.0,False,0.4534920851389567,1.0,0.5,0
15,3,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[21.0, 4.0, 0.0, 1.0, 1.0, 2.0, 2.0]","[3, 3, 3]","[1, 0, -1]",1.0,False,0.05630613397806883,0.6666666666666666,1.0,0
16,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[1.0, 19.0, 2.0, 2.0, 2.0, 0.0, 0.0]","[1, 1, 1]","[1, 5, 3]",0.7222222222222223,False,0.19098975540449223,1.0,1.0,0
17,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[5.0, 19.0, 2.0, 0.0, 2.0, 0.0, 0.0]","[1, 1, 1]","[-1, 2, 1]",0.6666666666666666,False,0.28608858585357666,0.6666666666666666,1.0,0
18,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[11.0, 19.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[1, 1, 1]","[-1, 1, 1]",0.625,False,0.6030720472335815,0.6666666666666666,1.0,0
19,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 19.0, 1.0, 2.0, 2.0, 0.0, 1.0]","[1, 1, 1]","[2, 5, 3]",0.75,False,0.06771006093670924,1.0,1.0,0
20,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[1.0, 19.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[1, 1, 1]","[-1, 5, -1]",1.0,False,0.0039809029549360275,0.3333333333333333,1.0,0
21,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[11.0, 19.0, 2.0, 0.0, 0.0, 0.0, 2.0]","[1, 1, 1]","[1, 1, -1]",0.5833333333333334,False,0.6218951940536499,0.6666666666666666,1.0,0
22,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[16.0, 19.0, 0.0, 0.0, 0.0, 2.0, 0.0]","[1, 1, 1]","[1, 1, 1]",1.0,False,0.5693447788556417,1.0,0.3,0
23,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[16.0, 19.0, 0.0, 1.0, 2.0, 1.0, 0.0]","[1, 1, 1]","[1, 1, 1]",0.8333333333333334,False,0.6777998208999634,1.0,0.3,0
24,4,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[10.0, 19.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1, 1, 1]","[2, 1, 1]",0.4747474747474747,False,0.44237085183461505,1.0,1.0,0
25,10,"[10.0, 19.0, 0.0, 1.0, 0.0, 0.0, 2.0]","[0.0, 19.0, 2.0, 1.0, 0.0, 1.0, 2.0]","[1, 1, 1]","[5, 5, 5]",1.0,False,0.002223160583525896,1.0,1.0,0
26,10,"[10.0, 19.0, 0.0, 1.0, 0.0, 0.0, 2.0]","[0.0, 19.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[1, 1, 1]","[-1, 2, 2]",1.0,False,0.08723734319210052,0.6666666666666666,1.0,0
27,10,"[10.0, 19.0, 0.0, 1.0, 0.0, 0.0, 2.0]","[0.0, 19.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[1, 1, 1]","[1, 5, 3]",0.75,False,0.1725248784835761,1.0,1.0,0
28,10,"[10.0, 19.0, 0.0, 1.0, 0.0, 0.0, 2.0]","[10.0, 19.0, 1.0, 1.0, 0.0, 0.0, 2.0]","[1, 1, 1]","[1, 1, -1]",0.75,False,0.5468892604112625,0.6666666666666666,1.0,0
29,10,"[10.0, 19.0, 0.0, 1.0, 0.0, 0.0, 2.0]","[15.0, 19.0, 0.0, 1.0, 1.0, 2.0, 2.0]","[1, 1, 1]","[1, 1, 1]",1.0,False,0.5005164245764414,1.0,0.5,0
30,11,"[11.0, 9.0, 2.0, 0.0, 1.0, 1.0, 2.0]","[21.0, 9.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[-1, 1, -1]",1.0,False,0.08233476430177689,0.3333333333333333,1.0,0
31,11,"[11.0, 9.0, 2.0, 0.0, 1.0, 1.0, 2.0]","[21.0, 9.0, 2.0, 2.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[1, 3, 1]",0.8333333333333334,False,0.1949501857161522,1.0,1.0,0
32,11,"[11.0, 9.0, 2.0, 0.0, 1.0, 1.0, 2.0]","[15.0, 9.0, 1.0, 2.0, 1.0, 1.0, 0.0]","[3, 3, 3]","[4, 3, 2]",0.9166666666666666,False,0.1701058348019918,1.0,1.0,0
33,11,"[11.0, 9.0, 2.0, 0.0, 1.0, 1.0, 2.0]","[21.0, 9.0, 1.0, 2.0, 1.0, 1.0, 0.0]","[3, 3, 3]","[5, 4, -1]",1.0,False,0.02209002699237317,0.6666666666666666,1.0,0
34,11,"[11.0, 9.0, 2.0, 0.0, 1.0, 1.0, 2.0]","[11.0, 9.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[3, 3, -1]",0.6666666666666666,False,0.6777276694774628,0.6666666666666666,1.0,0
35,11,"[11.0, 9.0, 2.0, 0.0, 1.0, 1.0, 2.0]","[11.0, 9.0, 2.0, 2.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[3, 3, 0]",0.611111111111111,False,0.4645656893650691,1.0,1.0,0
36,11,"[11.0, 9.0, 2.0, 0.0, 1.0, 1.0, 2.0]","[6.0, 9.0, 0.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[3, 3, 3]",0.8333333333333334,False,0.6445887883504232,1.0,0.2,0
37,11,"[11.0, 9.0, 2.0, 0.0, 1.0, 1.0, 2.0]","[6.0, 9.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[3, 3, 3]",0.75,False,0.6697496175765991,1.0,0.2,0
38,12,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[15.0, 14.0, 0.0, 2.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[-1, -1, 5]",1.0,False,0.0013719153357669711,0.3333333333333333,1.0,0
39,12,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[6.0, 14.0, 1.0, 2.0, 1.0, 2.0, 2.0]","[3, 0, 4]","[3, 0, 3]",0.6944444444444445,False,0.3752995232741038,1.0,1.0,0
40,12,"[11.0, 14.0, 0.0, 2.0, 1.0, 2.0, 0.0]","[15.0, 14.0, 2.0, 2.0, 1.0, 0.0, 0.0]","[3, 0, 4]","[0, 4, 2]",0.75,False,0.11872482237716515,1.0,1.0,0
41,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[20.0, 4.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, 3, 3]","[1, 5, 1]",1.0,False,0.03258618514519185,1.0,1.0,0
42,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, 3, 3]","[3, 1, 3]",0.4666666666666666,False,0.45658887705455226,1.0,1.0,0
43,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, 3, 3]","[3, 1, 3]",0.5111111111111111,False,0.4236257600908478,1.0,1.0,0
44,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[10.0, 4.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, 3, 3]","[3, 5, 5]",0.7333333333333334,False,0.22668188323344415,1.0,1.0,0
45,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[5.0, 4.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, 3, 3]","[-1, 3, 3]",0.6,False,0.6617871820926666,0.6666666666666666,1.0,0
46,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[5.0, 4.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, 3, 3]","[3, 3, 4]",0.5333333333333333,False,0.38925423473119736,1.0,1.0,0
47,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 4.0, 2.0, 1.0, 1.0, 2.0, 0.0]","[3, 3, 3]","[3, 3, 3]",1.0,False,0.4575948119163513,1.0,0.4,0
48,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[16.0, 4.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[3, 3, 3]","[-1, 0, -1]",1.0,False,0.1063423603773117,0.3333333333333333,1.0,0
49,13,"[5.0, 4.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[16.0, 4.0, 1.0, 1.0, 1.0, 2.0, 1.0]","[3, 3, 3]","[0, 5, -1]",1.0,False,0.05396918539190665,0.6666666666666666,1.0,0
50,14,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 19.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1, 1, 1]","[2, 1, 3]",0.7777777777777777,False,0.21396037749946117,1.0,1.0,0
51,14,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 1]","[1, 1, -1]",0.625,False,0.6176352202892303,0.6666666666666666,1.0,0
52,14,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[0.0, 19.0, 2.0, 1.0, 0.0, 0.0, 0.0]","[1, 1, 1]","[2, 2, 2]",0.7777777777777778,False,0.1005725512901942,1.0,1.0,0
53,14,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[6.0, 19.0, 2.0, 1.0, 0.0, 1.0, 0.0]","[1, 1, 1]","[3, 1, 0]",0.75,False,0.2547675396005313,1.0,1.0,0
54,14,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[16.0, 19.0, 0.0, 0.0, 0.0, 2.0, 1.0]","[1, 1, 1]","[1, 1, 1]",1.0,False,0.549143652121226,1.0,0.7,0
55,14,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[16.0, 19.0, 2.0, 0.0, 0.0, 1.0, 0.0]","[1, 1, 1]","[1, 1, 1]",0.8333333333333334,False,0.6142784158388773,1.0,0.7,0
56,14,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[6.0, 19.0, 2.0, 0.0, 1.0, 0.0, 1.0]","[1, 1, 1]","[5, 1, -1]",0.6666666666666666,False,0.287890805862844,0.6666666666666666,1.0,0
57,14,"[11.0, 19.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[1.0, 19.0, 0.0, 0.0, 2.0, 1.0, 0.0]","[1, 1, 1]","[-1, 5, -1]",1.0,False,0.0039809029549360275,0.3333333333333333,1.0,0
58,15,"[16.0, 19.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[1.0, 19.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[1, 1, 4]","[3, -1, -1]",1.0,False,0.0323038175702095,0.3333333333333333,1.0,0
59,15,"[16.0, 19.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[5.0, 19.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[1, 1, 4]","[2, 5, 5]",1.0,False,0.01746237037392954,1.0,1.0,0
60,15,"[16.0, 19.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[11.0, 19.0, 1.0, 0.0, 1.0, 1.0, 2.0]","[1, 1, 4]","[4, 1, 0]",0.7777777777777777,False,0.3251606523990631,1.0,1.0,0
61,15,"[16.0, 19.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[16.0, 19.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1, 1, 4]","[-1, 1, 1]",0.75,False,0.7057573199272156,0.6666666666666666,1.0,0
62,15,"[16.0, 19.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[10.0, 19.0, 1.0, 0.0, 1.0, 1.0, 2.0]","[1, 1, 4]","[4, 2, 1]",0.8333333333333334,False,0.2109630530079206,1.0,1.0,0
63,16,"[16.0, 18.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[10.0, 18.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[1, 0, 4]","[2, 5, 2]",0.5,False,0.04745478307207426,1.0,1.0,0
64,16,"[16.0, 18.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 18.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[1, 0, 4]","[5, 3, 3]",1.0,False,0.028526566922664642,1.0,1.0,0
65,16,"[16.0, 18.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[15.0, 18.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[1, 0, 4]","[-1, 2, 1]",0.625,False,0.24562551081180573,0.6666666666666666,1.0,0
66,16,"[16.0, 18.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[21.0, 18.0, 2.0, 1.0, 1.0, 1.0, 0.0]","[1, 0, 4]","[1, 0, 1]",0.48148148148148145,False,0.34192443701128167,1.0,1.0,0
67,16,"[16.0, 18.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 18.0, 0.0, 1.0, 1.0, 1.0, 2.0]","[1, 0, 4]","[-1, 3, 3]",1.0,False,0.04180856607854366,0.6666666666666666,1.0,0
68,17,"[11.0, 23.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[2.0, 23.0, 0.0, 1.0, 0.0, 2.0, 2.0]","[1, 1, 1]","[4, 0, -1]",1.0,False,0.17049208655953407,0.6666666666666666,1.0,0
69,17,"[11.0, 23.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[0.0, 23.0, 1.0, 1.0, 0.0, 2.0, 2.0]","[1, 1, 1]","[5, 2, 4]",1.0,False,0.0855472725039969,1.0,1.0,0
70,17,"[11.0, 23.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[11.0, 23.0, 1.0, 0.0, 0.0, 2.0, 2.0]","[1, 1, 1]","[1, 4, 1]",0.9166666666666666,False,0.3964536686738332,1.0,1.0,0
71,17,"[11.0, 23.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[11.0, 23.0, 1.0, 0.0, 1.0, 2.0, 2.0]","[1, 1, 1]","[1, 4, 1]",0.8333333333333334,False,0.39979155858357746,1.0,1.0,0
72,18,"[6.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[21.0, 4.0, 1.0, 1.0, 1.0, 2.0, 0.0]","[3, 3, 3]","[1, 4, -1]",1.0,False,0.046723078936338425,0.6666666666666666,1.0,0
73,18,"[6.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[1.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[3, 3, 3]","[3, 3, 3]",0.6666666666666666,False,0.6546265681584676,1.0,1.0,0
74,18,"[6.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[11.0, 4.0, 1.0, 1.0, 0.0, 0.0, 2.0]","[3, 3, 3]","[4, 3, 4]",0.7777777777777778,False,0.2361060126374165,1.0,1.0,0
75,18,"[6.0, 4.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[21.0, 4.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, 3, 3]","[4, 1, 4]",1.0,False,0.03100181743502617,1.0,1.0,0
76,19,"[11.0, 18.0, 1.0, 0.0, 2.0, 1.0, 1.0]","[1.0, 18.0, 0.0, 0.0, 2.0, 1.0, 1.0]","[1, 1, 1]","[4, 5, 4]",1.0,False,0.05428910224388043,1.0,1.0,0
77,19,"[11.0, 18.0, 1.0, 0.0, 2.0, 1.0, 1.0]","[0.0, 18.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[1, 1, 1]","[-1, 2, -1]",1.0,False,0.06835611164569855,0.3333333333333333,1.0,0
78,19,"[11.0, 18.0, 1.0, 0.0, 2.0, 1.0, 1.0]","[16.0, 18.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[1, 1, 1]","[1, 1, 1]",0.7222222222222222,False,0.6166903972625732,1.0,1.0,0
79,19,"[11.0, 18.0, 1.0, 0.0, 2.0, 1.0, 1.0]","[3.0, 18.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[1, 1, 1]","[4, 0, 0]",0.8333333333333334,False,0.1232067346572876,1.0,1.0,0
